,Brewery,City,State,Beer,ABV,IBU,Style,Ounces
1827,Fort George Brewery,Astoria, OR,Quick WIT,0.052,NA,Belgian Pale Ale,12
1828,Fort George Brewery,Astoria, OR,Next Adventure Black IPA,0.062,NA,American Black Ale,16
1829,Fort George Brewery,Astoria, OR,Suicide Squeeze IPA,0.045,NA,American IPA,16
1830,Fort George Brewery,Astoria, OR,Java the Hop,0.065,NA,American IPA,16
1831,Rogue Ales,Newport, OR,Rogue American Amber Ale,0.051,NA,American Amber / Red Ale,16
1832,Widmer Brothers Brewing Company,Portland, OR,Hefe Black,0.049,30,Hefeweizen,12
1833,Widmer Brothers Brewing Company,Portland, OR,Widmer Brothers Hefeweizen,0.049,30,Hefeweizen,12
1834,Widmer Brothers Brewing Company,Portland, OR,Hefe Lemon,0.049,30,Radler,12
1835,Astoria Brewing Company,Astoria, OR,Trolley Stop Stout,0.057,40,American Stout,12
1836,Astoria Brewing Company,Astoria, OR,Bitter Bitch Imperial IPA,0.082,138,American Double / Imperial IPA,12
1837,Astoria Brewing Company,Astoria, OR,Poop Deck Porter,0.062,35,American Porter,12
1838,Astoria Brewing Company,Astoria, OR,Old Red Beard Amber Ale,0.06,35,American Amber / Red Ale,12
1839,Natian Brewery,Portland, OR,Undun Blonde Ale,0.053,NA,American Blonde Ale,16
1840,Natian Brewery,Portland, OR,Old Grogham Imperial India Pale Ale (2012),0.085,86,American Double / Imperial IPA,16
1841,Natian Brewery,Portland, OR,Undun Blonde Ale (2012),0.053,NA,American Blonde Ale,16
1842,Natian Brewery,Portland, OR,Old Grogham Imperial India Pale Ale,0.085,86,American Double / Imperial IPA,16
1843,Natian Brewery,Portland, OR,CuDa Cascadian Dark Ale,0.074,NA,American Black Ale,16
1844,Natian Brewery,Portland, OR,CuDa Cascadian Dark Ale (2012),0.074,NA,American Black Ale,16
1845,Red Tank Cider Company,Bend, OR,Happy Cider,0.055,NA,Cider,16
1846,Cascadia Ciderworks United,Portland, OR,Dry Hard Apple Cider,0.069,NA,Cider,16
1847,Cascadia Ciderworks United,Portland, OR,Granny Smith Hard Apple Cider,0.069,NA,Cider,16
1848,10 Barrel Brewing Company,Bend, OR,Pub Beer,0.05,NA,American Pale Lager,12
1849,Coalition Brewing Company,Portland, OR,Cascadian Dark Ale,0.06,75,American Black Ale,12
1850,Coalition Brewing Company,Portland, OR,Wheat the People,0.044,13,American Pale Wheat Ale,16
1851,Blue Dog Mead,Eugene, OR,Yellow Collar,0.059,NA,Mead,12
1852,Blue Dog Mead,Eugene, OR,Green Collar,0.059,NA,Mead,12
1853,Southern Oregon Brewing Company,Medford, OR,Nice Rack IPA,0.055,65,American IPA,16
1854,Southern Oregon Brewing Company,Medford, OR,Na Zdraví Pilsner,0.048,32,Czech Pilsener,16
1855,Deschutes Brewery,Bend, OR,Mirror Pond Pale Ale,0.05,40,American Pale Ale (APA),12
1856,Good Life Brewing Company,Bend, OR,Descender IPA,0.07,70,American IPA,12
1857,Good Life Brewing Company,Bend, OR,Sweet As Pacific Ale,0.06,18,American Pale Wheat Ale,12
1858,MacTarnahans Brewing Company,Portland, OR,Mac's Highlander Pale Ale (2000),0.05,NA,American Pale Ale (APA),12
1859,MacTarnahans Brewing Company,Portland, OR,Mac's Scottish Style Amber Ale (2000),0.051,32,American Amber / Red Ale,12
1860,Seven Brides Brewery,Silverton, OR,Becky's Black Cat Porter,0.07,55,American Porter,16
1861,Seven Brides Brewery,Silverton, OR,Frankenlou's IPA,0.07,105,American IPA,16
1862,Rivertowne Brewing Company,Export, PA,Grateful White,0.061,NA,Witbier,12
1863,Rivertowne Brewing Company,Export, PA,Jah Mon,0.05,100,American IPA,12
1864,Rivertowne Brewing Company,Export, PA,Babbling Blonde,0.053,NA,American Blonde Ale,12
1865,Rivertowne Brewing Company,Export, PA,Headless Wylie,0.08,NA,Pumpkin Ale,12
1866,Rivertowne Brewing Company,Export, PA,Rudolph's Red,0.081,NA,American Amber / Red Ale,12
1867,Rivertowne Brewing Company,Export, PA,Dayman IPA,0.05,NA,American IPA,12
1868,Rivertowne Brewing Company,Export, PA,All Aboard! Anniversary Stout,0.071,NA,Oatmeal Stout,12
1869,Rivertowne Brewing Company,Export, PA,Patrick's Poison,0.08,NA,American Amber / Red Ale,12
1870,Rivertowne Brewing Company,Export, PA,Hala Kahiki Pineapple Beer,0.048,NA,Fruit / Vegetable Beer,12
1871,Rivertowne Brewing Company,Export, PA,Hop Lace,0.062,NA,American White IPA,12
1872,Rivertowne Brewing Company,Export, PA,Maxwell's Scottish Ale,0.051,NA,Scottish Ale,12
1873,Rivertowne Brewing Company,Export, PA,Oktoberfest,0.062,NA,Märzen / Oktoberfest,12
1874,Rivertowne Brewing Company,Export, PA,RT Lager,0.055,NA,American Amber / Red Lager,12
1875,Rivertowne Brewing Company,Export, PA,OH-PA Session Pale Ale,0.048,NA,American Pale Ale (APA),12
1876,Rivertowne Brewing Company,Export, PA,Old Wylie's IPA,0.062,NA,American IPA,12
1877,The Lion Brewery,Wilkes-Barre, PA,Lionshead,0.045,NA,American Pilsner,12
1878,Tröegs Brewing Company,Hershey, PA,Sunshine Pils,0.045,45,American Pilsner,12
1879,Tröegs Brewing Company,Hershey, PA,Nugget Nectar,0.075,93,American Amber / Red Ale,16
1880,Tröegs Brewing Company,Hershey, PA,Troegenator,0.082,NA,Doppelbock,16
1881,Tröegs Brewing Company,Hershey, PA,Perpetual IPA,0.075,85,American IPA,12
1882,Tröegs Brewing Company,Hershey, PA,Troegenator Doublebock,0.082,25,Doppelbock,16
1883,Vault Brewing Company,Yardley, PA,Nitro Can Coffee Stout,0.052,NA,American Stout,12
1884,Straub Brewery,St Mary's, PA,Straub Beer (Current),0.05,NA,American Adjunct Lager,12
1885,Straub Brewery,St Mary's, PA,American Light,0.032,13,Light Lager,12
1886,Straub Brewery,St Mary's, PA,American Lager,0.041,8,American Adjunct Lager,12
1887,Straub Brewery,St Mary's, PA,American Amber,0.041,8,American Amber / Red Lager,12
1888,Fort Pitt Brewing Company,Latrobe, PA,Fort Pitt Ale,NA,NA,American Amber / Red Ale,12
1889,Sly Fox Brewing Company,Phoenixville, PA,Homefront IPA,0.06,70,American IPA,12
1890,Round Guys Brewing,Lansdale, PA,Sundown,0.071,36,Saison / Farmhouse Ale,12
1891,Round Guys Brewing,Lansdale, PA,Fear of a Brett Planet,0.051,NA,American Pale Ale (APA),12
1892,Round Guys Brewing,Lansdale, PA,Sanctified,0.099,NA,Belgian Strong Pale Ale,12
1893,Round Guys Brewing,Lansdale, PA,Dog Days Summer Ale,0.045,28,Kölsch,12
1894,Round Guys Brewing,Lansdale, PA,Original Slacker Ale,0.056,40,English Brown Ale,12
1895,Round Guys Brewing,Lansdale, PA,Kiss Off IPA,0.063,NA,American IPA,12
1896,Round Guys Brewing,Lansdale, PA,Alpha Blackback,0.072,NA,American Black Ale,12
1897,Boxcar Brewing Company,West Chester, PA,Passenger,0.047,NA,English Dark Mild Ale,12
1898,Boxcar Brewing Company,West Chester, PA,1492,0.065,NA,American Pale Ale (APA),12
1899,Boxcar Brewing Company,West Chester, PA,Mango Ginger,0.058,NA,American IPA,12
1900,Hop Farm Brewing Company,Pittsburgh, PA,Provision,0.042,25,Saison / Farmhouse Ale,12
1901,Hop Farm Brewing Company,Pittsburgh, PA,Hop Farm IPA,0.058,45,American IPA,12
1902,Hop Farm Brewing Company,Pittsburgh, PA,One Nut Brown,0.047,28,American Brown Ale,12
1903,Liquid Hero Brewery,York, PA,American Hero,0.057,42,American Amber / Red Ale,12
1904,Liquid Hero Brewery,York, PA,Schweet Ale,0.052,20,Fruit / Vegetable Beer,12
1905,Liquid Hero Brewery,York, PA,Irregardless IPA,0.065,75,American IPA,12
1906,Liquid Hero Brewery,York, PA,Adam's Stout,0.058,40,American Stout,12
1907,Old Forge Brewing Company,Danville, PA,Overbite IPA,0.075,NA,American IPA,16
1908,Old Forge Brewing Company,Danville, PA,T-Rail Pale Ale,0.055,NA,American Pale Ale (APA),16
1909,Old Forge Brewing Company,Danville, PA,Endless Sun Ale,0.045,NA,American Pale Wheat Ale,16
1910,Old Forge Brewing Company,Danville, PA,Celestial Blonde Ale,0.065,NA,American Blonde Ale,16
1911,Old Forge Brewing Company,Danville, PA,Endless Summer Ale (2011),0.048,NA,American Pale Wheat Ale,16
1912,Old Forge Brewing Company,Danville, PA,Hopsmith Pale Lager,0.06,NA,American Pale Lager,16
1913,Old Forge Brewing Company,Danville, PA,Falling Down Brown Ale,0.065,65,American Brown Ale,16
1914,Old Forge Brewing Company,Danville, PA,Old Forge Pumpkin Ale,0.046,20,Pumpkin Ale,16
1915,Old Forge Brewing Company,Danville, PA,Plowshare Porter,0.055,NA,American Porter,16
1916,Old Forge Brewing Company,Danville, PA,Resolution Rye Stout,0.068,NA,American Stout,16
1917,Voodoo Brewery,Meadville, PA,Voodoo Love Child,0.092,25,Tripel,12
1918,Voodoo Brewery,Meadville, PA,White Magick of the Sun,0.079,23,Witbier,12
1919,Voodoo Brewery,Meadville, PA,Good Vibes IPA,0.073,85,American IPA,12
1920,Voodoo Brewery,Meadville, PA,Pilzilla,0.075,85,American Double / Imperial Pilsner,12
1921,Voodoo Brewery,Meadville, PA,Gran Met,0.092,25,Belgian Strong Pale Ale,12
1922,Voodoo Brewery,Meadville, PA,Wynona's Big Brown Ale,0.075,31,American Brown Ale,12
1923,Neshaminy Creek Brewing Company,Croydon, PA,County Line IPA,0.066,NA,American IPA,12
1924,Neshaminy Creek Brewing Company,Croydon, PA,Trauger Pilsner,0.048,NA,German Pilsener,12
1925,Lavery Brewing Company,Erie, PA,Duluchan India Pale Ale,0.056,70,American IPA,12
1926,Lavery Brewing Company,Erie, PA,Madra Allta,0.064,95,American IPA,12
1927,Manayunk Brewing Company,Philadelphia, PA,Manayunk Oktoberfest,0.067,NA,Märzen / Oktoberfest,12
1928,Manayunk Brewing Company,Philadelphia, PA,Schuylkill Punch,0.06,14,Fruit / Vegetable Beer,12
1929,Manayunk Brewing Company,Philadelphia, PA,Monk from the 'Yunk,0.09,30,Tripel,12
1930,Manayunk Brewing Company,Philadelphia, PA,Festivus (1),0.072,NA,Winter Warmer,12
1931,Manayunk Brewing Company,Philadelphia, PA,Belgian Style Session Ale,0.045,21,Belgian Pale Ale,12
1932,Manayunk Brewing Company,Philadelphia, PA,Yunkin' Punkin',0.055,NA,Pumpkin Ale,12
1933,Manayunk Brewing Company,Philadelphia, PA,Summer Paradise,0.05,18,American Pale Wheat Ale,12
1934,Manayunk Brewing Company,Philadelphia, PA,Dreamin' Double IPA,0.085,85,American Double / Imperial IPA,12
1935,Manayunk Brewing Company,Philadelphia, PA,Manayunk IPA,0.055,NA,American IPA,12
1936,Mikkeller,Pottstown, PA,Keeper (Current),0.05,NA,American Pilsner,12
1937,Mikkeller,Pottstown, PA,Better Half,0.068,NA,American IPA,12
1938,Sly Fox Brewing Company,Pottstown, PA,Pikeland Pils,0.049,44,German Pilsener,12
1939,Sly Fox Brewing Company,Pottstown, PA,Oktoberfest Lager,0.058,25,Märzen / Oktoberfest,12
1940,Sly Fox Brewing Company,Pottstown, PA,113 IPA,0.07,113,American IPA,12
1941,Sly Fox Brewing Company,Pottstown, PA,Phoenix Pale Ale,0.051,40,American Pale Ale (APA),12
1942,Sly Fox Brewing Company,Pottstown, PA,Sly Fox Christmas Ale 2013,0.055,16,Winter Warmer,12
1943,Sly Fox Brewing Company,Pottstown, PA,Dunkel Lager,0.053,21,Munich Dunkel Lager,12
1944,Sly Fox Brewing Company,Pottstown, PA,Royal Weisse Ale,0.056,11,Hefeweizen,12
1945,Sly Fox Brewing Company,Pottstown, PA,Odyssey Imperial IPA,0.084,90,American Double / Imperial IPA,12
1946,Sly Fox Brewing Company,Pottstown, PA,Grisette,0.056,25,Grisette,12
1947,Sly Fox Brewing Company,Pottstown, PA,Helles Golden Lager,0.049,18,Munich Helles Lager,12
1948,Sly Fox Brewing Company,Pottstown, PA,Sly Fox Christmas Ale 2012 (2012),0.055,16,Winter Warmer,12
1949,Sly Fox Brewing Company,Pottstown, PA,360° India Pale Ale,0.062,NA,American IPA,12
1950,Spring House Brewing Company,Conestoga, PA,Seven Gates Pale Ale,0.056,NA,American Pale Ale (APA),12
1951,Swashbuckler Brewing Company,Manheim, PA,Bermuda Triangle Ginger Beer,0.045,NA,Herbed / Spiced Beer,12
1952,Jack's Hard Cider (Hauser Estate...,Biglerville, PA,Jack's Hard Cider,0.051,NA,Cider,12
1953,Jack's Hard Cider (Hauser Estate...,Biglerville, PA,Helen's Blend,0.05,NA,Cider,12
1954,North Country Brewing Company,Slippery Rock, PA,Slimy Pebble Pils,0.045,NA,German Pilsener,12
1955,North Country Brewing Company,Slippery Rock, PA,Buck Snort Stout,0.061,NA,American Stout,12
1956,North Country Brewing Company,Slippery Rock, PA,Station 33 Firehouse Red,0.055,NA,Irish Red Ale,12
1957,North Country Brewing Company,Slippery Rock, PA,Paleo IPA,0.06,NA,English India Pale Ale (IPA),12
1958,Dock Street Brewery,Philadelphia, PA,Dock Street Amber Beer (1992),NA,NA,American Amber / Red Ale,12
1959,Flat Rock Brewing Company,Smithton, PA,Inclined Plane Ale,NA,NA,American IPA,12
1960,Lancaster Brewing Company,Lancaster, PA,Rumspringa Golden Bock,0.066,30,Maibock / Helles Bock,12
1961,Lancaster Brewing Company,Lancaster, PA,Lancaster German Style Kölsch,0.048,28,Kölsch,12
1962,Grey Sail Brewing Company,Westerly, RI,Captain's Daughter,0.085,69,American Double / Imperial IPA,12
1963,Grey Sail Brewing Company,Westerly, RI,Autumn Winds Fest Beer,0.058,NA,Märzen / Oktoberfest,16
1964,Coastal Extreme Brewing Company,Newport, RI,Rhode Island Blueberry,0.046,11,Kölsch,12
1965,Coastal Extreme Brewing Company,Newport, RI,Newport Storm IPA,0.065,75,American IPA,12
1966,Coastal Extreme Brewing Company,Newport, RI,Hurricane Amber Ale (2004),0.052,24,American Amber / Red Ale,12
1967,Coastal Extreme Brewing Company,Newport, RI,Hurricane Amber Ale,0.052,24,American Amber / Red Ale,12
1968,Narragansett Brewing Company,Providence, RI,Narragansett Bohemian Pilsner,0.086,35,German Pilsener,16
1969,Narragansett Brewing Company,Providence, RI,Narragansett Porter,0.07,22,American Porter,16
1970,Narragansett Brewing Company,Providence, RI,Narragansett Summer Ale,0.042,24,American Pale Wheat Ale,12
1971,Narragansett Brewing Company,Providence, RI,Narragansett Cream Ale,0.05,22,Cream Ale,16
1972,Narragansett Brewing Company,Providence, RI,Narragansett Summer Ale,0.042,24,American Pale Wheat Ale,16
1973,Narragansett Brewing Company,Providence, RI,Bohemian Pils,0.052,30,American Pilsner,16
1974,Narragansett Brewing Company,Providence, RI,Narragansett Fest Lager,0.055,15,Märzen / Oktoberfest,16
1975,Narragansett Brewing Company,Providence, RI,Narragansett Bock,0.065,32,Bock,16
1976,Narragansett Brewing Company,Providence, RI,Autocrat Coffee Milk Stout,0.053,30,Milk / Sweet Stout,16
1977,Narragansett Brewing Company,Providence, RI,Gansett Light,0.037,10,Light Lager,16
1978,Foolproof Brewing Company,Pawtucket, RI,Backyahd IPA,0.06,NA,American IPA,12
1979,Foolproof Brewing Company,Pawtucket, RI,La Ferme Urbaine Farmhouse Ale,0.078,NA,Saison / Farmhouse Ale,12
1980,Foolproof Brewing Company,Pawtucket, RI,Raincloud Robust Porter,0.065,NA,American Porter,12
1981,Foolproof Brewing Company,Pawtucket, RI,Barstool American Golden Ale,0.045,NA,American Blonde Ale,12
1982,Grey Sail Brewing of Rhode Island,Westerly, RI,Leaning Chimney Smoked Porter,0.06,34,American Porter,16
1983,Grey Sail Brewing of Rhode Island,Westerly, RI,Hazy Day Belgian-Style Wit,0.04,20,Witbier,16
1984,Grey Sail Brewing of Rhode Island,Westerly, RI,Flagship Ale,0.049,22,Cream Ale,12
1985,Grey Sail Brewing of Rhode Island,Westerly, RI,Autumn Winds,0.058,NA,Märzen / Oktoberfest,16
1986,Grey Sail Brewing of Rhode Island,Westerly, RI,Bring Back the Beach Blonde Ale,0.055,NA,American Blonde Ale,16
1987,Grey Sail Brewing of Rhode Island,Westerly, RI,Flying Jenny Extra Pale Ale (2012),0.06,54,American Pale Ale (APA),12
1988,Grey Sail Brewing of Rhode Island,Westerly, RI,Flying Jenny Extra Pale Ale,0.06,54,American Pale Ale (APA),12
1989,COAST Brewing Company,Charleston, SC,Rye Knot,0.062,NA,American Brown Ale,12
1990,COAST Brewing Company,Charleston, SC,Dead Arm,0.06,NA,American Pale Ale (APA),12
1991,COAST Brewing Company,Charleston, SC,32°/50° Kölsch ,0.048,NA,Kölsch,16
1992,COAST Brewing Company,Charleston, SC,Blackbeard,0.093,NA,American Double / Imperial Stout,12
1993,COAST Brewing Company,Charleston, SC,Boy King,0.097,NA,American Double / Imperial IPA,16
1994,COAST Brewing Company,Charleston, SC,HopArt,0.077,NA,American IPA,16
1995,Quest Brewing Company,Greenville, SC,Smoking Mirror,0.055,30,American Porter,12
1996,Quest Brewing Company,Greenville, SC,Golden Fleece,0.045,35,Belgian Pale Ale,12
1997,Westbrook Brewing Company,Mt. Pleasant, SC,White Thai,0.05,16,Witbier,12
1998,Westbrook Brewing Company,Mt. Pleasant, SC,One Claw,0.055,NA,American Pale Ale (APA),12
1999,Westbrook Brewing Company,Mt. Pleasant, SC,Westbrook Gose,0.04,5,Gose,12
2000,Westbrook Brewing Company,Mt. Pleasant, SC,Westbrook IPA,0.068,65,American IPA,12
2001,New South Brewing Company,Myrtle Beach, SC,Nut Brown Ale,0.054,NA,English Brown Ale,12
2002,New South Brewing Company,Myrtle Beach, SC,White Ale,0.046,NA,Witbier,12
2003,Crow Peak Brewing Company,Spearfish, SD,Canyon Cream Ale,0.055,NA,Cream Ale,12
2004,Crow Peak Brewing Company,Spearfish, SD,Pile O'Dirt Porter,0.069,NA,American Porter,12
2005,Crow Peak Brewing Company,Spearfish, SD,Easy Livin' Summer Ale,0.045,NA,American Blonde Ale,12
2006,Crow Peak Brewing Company,Spearfish, SD,11th Hour IPA,0.06,NA,American IPA,12
2007,Crow Peak Brewing Company,Spearfish, SD,Red Water Irish Style Red,0.065,NA,American Amber / Red Ale,12
2008,Crow Peak Brewing Company,Spearfish, SD,Mjöllnir,0.066,NA,Herbed / Spiced Beer,12
2009,Crow Peak Brewing Company,Spearfish, SD,Bear Butte Nut Brown Ale,0.055,NA,American Brown Ale,12
2010,Wiseacre Brewing Company,Memphis, TN,Ananda India Pale Ale,0.062,61,American IPA,12
2011,Wiseacre Brewing Company,Memphis, TN,Tiny Bomb,0.045,23,American Pilsner,12
2012,Wiseacre Brewing Company,Memphis, TN,Tarasque,0.059,NA,Saison / Farmhouse Ale,12
2013,Jackalope Brewing Company,Nashville, TN,Thunder Ann,0.055,37,American Pale Ale (APA),12
2014,Big River Brewing Company,Chattanooga, TN,Big River Pilsner,0.05,32,Czech Pilsener,12
2015,Big River Brewing Company,Chattanooga, TN,House Brand IPA,0.06,55,American IPA,12
2016,Cedar Creek Brewery,Seven Points, TX,The Lawn Ranger,0.05,18,Cream Ale,16
2017,Cedar Creek Brewery,Seven Points, TX,Elliott's Phoned Home Pale Ale,0.051,36,American Pale Ale (APA),16
2018,Cedar Creek Brewery,Seven Points, TX,Scruffy's Smoked Alt,0.051,35,Smoked Beer,16
2019,Cedar Creek Brewery,Seven Points, TX,Special Release,NA,NA,,16
2020,Cedar Creek Brewery,Seven Points, TX,Dankosaurus,0.068,70,American IPA,16
2021,Cedar Creek Brewery,Seven Points, TX,Gone A-Rye,0.085,90,American Double / Imperial IPA,16
2022,Twisted X Brewing Company,Dripping Springs, TX,Twisted X,0.051,19,American Adjunct Lager,12
2023,Twisted X Brewing Company,Dripping Springs, TX,Cow Creek,0.054,26,American Amber / Red Lager,12
2024,Twisted X Brewing Company,Dripping Springs, TX,Chupahopra,0.075,63,American IPA,12
2025,Freetail Brewing Company,San Antonio, TX,Texicali ,0.065,33,American Brown Ale,12
2026,Freetail Brewing Company,San Antonio, TX,Bat Outta Helles,0.042,20,Munich Helles Lager,12
2027,Freetail Brewing Company,San Antonio, TX,Pinata Protest,0.06,NA,Witbier,12
2028,Freetail Brewing Company,San Antonio, TX,Rye Wit,0.042,10,Witbier,12
2029,Freetail Brewing Company,San Antonio, TX,Original,0.068,NA,American Amber / Red Ale,12
2030,Freetail Brewing Company,San Antonio, TX,Soul Doubt,0.059,70,American IPA,12
2031,Freetail Brewing Company,San Antonio, TX,OktoberFiesta,0.053,27,,12
2032,Freetail Brewing Company,San Antonio, TX,Yo Soy Un Berliner,0.044,5,Berliner Weissbier,12
2033,Blue Owl Brewing,Austin, TX,Little Boss,NA,NA,American Pale Wheat Ale,12
2034,Blue Owl Brewing,Austin, TX,Spirit Animal,NA,NA,American Pale Ale (APA),12
2035,Blue Owl Brewing,Austin, TX,Professor Black,NA,NA,American Stout,12
2036,Blue Owl Brewing,Austin, TX,Van Dayum!,NA,NA,American Amber / Red Ale,12
2037,Southern Star Brewing Company,Conroe, TX,PRO-AM (2012) (2012),0.099,100,American Double / Imperial IPA,12
2038,Southern Star Brewing Company,Conroe, TX,Red Cockaded Ale (2013),0.085,110,American Double / Imperial IPA,12
2039,Southern Star Brewing Company,Conroe, TX,Old Potentate,0.072,40,Old Ale,12
2040,Southern Star Brewing Company,Conroe, TX,Valkyrie Double IPA,0.092,100,American Double / Imperial IPA,12
2041,Southern Star Brewing Company,Conroe, TX,Le Mort Vivant (2011),0.069,23,Bière de Garde,12
2042,Southern Star Brewing Company,Conroe, TX,Walloon,0.055,NA,Saison / Farmhouse Ale,12
2043,Southern Star Brewing Company,Conroe, TX,Red Cockaded Ale,0.085,110,American Double / Imperial IPA,12
2044,Southern Star Brewing Company,Conroe, TX,Bombshell Blonde,0.05,20,American Blonde Ale,16
2045,Southern Star Brewing Company,Conroe, TX,Pine Belt Pale Ale,0.065,45,American Pale Ale (APA),12
2046,Southern Star Brewing Company,Conroe, TX,Pine Belt Pale Ale,0.065,45,American Pale Ale (APA),16
2047,Southern Star Brewing Company,Conroe, TX,Buried Hatchet Stout,0.083,50,Foreign / Export Stout,12
2048,Southern Star Brewing Company,Conroe, TX,Walloon (2014),0.055,NA,Saison / Farmhouse Ale,12
2049,Southern Star Brewing Company,Conroe, TX,Le Mort Vivant,0.069,23,Bière de Garde,12
2050,Southern Star Brewing Company,Conroe, TX,Bombshell Blonde,0.05,20,American Blonde Ale,12
2051,Karbach Brewing Company,Houston, TX,Love Street Summer Seasonal (2014),0.047,20,Kölsch,12
2052,Karbach Brewing Company,Houston, TX,Hopadillo India Pale Ale,0.066,70,American IPA,12
2053,Karbach Brewing Company,Houston, TX,Barn Burner Saison,0.066,20,Saison / Farmhouse Ale,12
2054,Karbach Brewing Company,Houston, TX,Rodeo Clown Double IPA,0.095,85,American Double / Imperial IPA,12
2055,Karbach Brewing Company,Houston, TX,Weisse Versa,0.052,15,Hefeweizen,12
2056,Karbach Brewing Company,Houston, TX,Karbachtoberfest,0.055,25,Märzen / Oktoberfest,12
2057,Karbach Brewing Company,Houston, TX,Sympathy for the Lager,0.049,45,American Amber / Red Lager,12
2058,Karbach Brewing Company,Houston, TX,Mother in Lager,0.058,25,Munich Dunkel Lager,12
2059,Karbach Brewing Company,Houston, TX,Weekend Warrior Pale Ale,0.055,40,American Pale Ale (APA),12
2060,Karbach Brewing Company,Houston, TX,Weisse Versa (2012),0.052,16,Hefeweizen,12
2061,Uncle Billy's Brewery and Smokeh...,Austin, TX,Humbucker Helles,0.047,25,Maibock / Helles Bock,16
2062,Uncle Billy's Brewery and Smokeh...,Austin, TX,The Green Room,0.06,75,American IPA,16
2063,Deep Ellum Brewing Company,Dallas, TX,Oak Cliff Coffee Ale,0.075,33,American Brown Ale,12
2064,Deep Ellum Brewing Company,Dallas, TX,Double Brown Stout,0.07,NA,Baltic Porter,12
2065,Deep Ellum Brewing Company,Dallas, TX,Farmhouse Wit,0.048,25,Saison / Farmhouse Ale,16
2066,Deep Ellum Brewing Company,Dallas, TX,Rye Pils Session Lager,0.046,NA,German Pilsener,12
2067,Deep Ellum Brewing Company,Dallas, TX,Dream Crusher Double IPA,0.085,100,American Double / Imperial IPA,12
2068,Deep Ellum Brewing Company,Dallas, TX,Deep Ellum Pale Ale,0.06,NA,American Pale Ale (APA),12
2069,Deep Ellum Brewing Company,Dallas, TX,Neato Bandito,0.06,NA,Euro Pale Lager,12
2070,Deep Ellum Brewing Company,Dallas, TX,Deep Ellum IPA,0.07,70,American IPA,12
2071,Deep Ellum Brewing Company,Dallas, TX,Dallas Blonde,0.052,23,American Blonde Ale,12
2072,Real Ale Brewing Company,Blanco, TX,18th Anniversary Gose,0.044,5,Gose,12
2073,Real Ale Brewing Company,Blanco, TX,BLAKKR,0.099,85,American Black Ale,12
2074,Real Ale Brewing Company,Blanco, TX,The Sword Iron Swan Ale,0.059,NA,English Pale Ale,12
2075,Real Ale Brewing Company,Blanco, TX,White (2015),0.046,25,Witbier,12
2076,Real Ale Brewing Company,Blanco, TX,Firemans #4 Blonde Ale (2015),0.051,21,American Blonde Ale,12
2077,Real Ale Brewing Company,Blanco, TX,Hans' Pils (2015),0.053,52,German Pilsener,12
2078,Real Ale Brewing Company,Blanco, TX,Firemans #4 Blonde Ale (2013),0.051,21,American Blonde Ale,12
2079,Real Ale Brewing Company,Blanco, TX,Four Squared (2015),0.06,50,American Blonde Ale,12
2080,Hops & Grains Brewing Company,Austin, TX,Porter Culture,0.065,NA,American Porter,12
2081,Independence Brewing Company,Austin, TX,Power & Light,0.055,42,American Pale Ale (APA),12
2082,Independence Brewing Company,Austin, TX,White Rabbit ,0.059,27,Witbier,12
2083,Independence Brewing Company,Austin, TX,Oklahoma Suks,0.048,32,American Amber / Red Ale,12
2084,Martin House Brewing Company,Fort Worth, TX,Day Break 4-Grain Breakfast Beer,0.05,NA,Rye Beer,16
2085,Martin House Brewing Company,Fort Worth, TX,River House,0.05,20,Saison / Farmhouse Ale,16
2086,Martin House Brewing Company,Fort Worth, TX,The Imperial Texan,0.08,NA,American Double / Imperial IPA,16
2087,Martin House Brewing Company,Fort Worth, TX,The Imperial Texan,0.08,NA,American Double / Imperial IPA,12
2088,Martin House Brewing Company,Fort Worth, TX,There Will Be Stout,0.065,NA,American Stout,12
2089,Martin House Brewing Company,Fort Worth, TX,Pretzel Stout,0.065,47,American Stout,16
2090,Martin House Brewing Company,Fort Worth, TX,River House Saison,0.05,NA,Saison / Farmhouse Ale,12
2091,Martin House Brewing Company,Fort Worth, TX,Rubberneck Red,0.05,35,American Amber / Red Ale,16
2092,Rahr & Sons Brewing Company,Fort Worth, TX,Pride of Texas Pale Ale,0.058,60,American Pale Ale (APA),12
2093,Rahr & Sons Brewing Company,Fort Worth, TX,Rahr's Blonde,0.046,NA,Munich Helles Lager,12
2094,Oasis Texas Brewing Company,Austin, TX,Lake Monster,0.082,25,Baltic Porter,16
2095,Oasis Texas Brewing Company,Austin, TX,London Homesick Ale,0.049,27,English Bitter,12
2096,Oasis Texas Brewing Company,Austin, TX,Luchesa Lager,0.048,35,Keller Bier / Zwickel Bier,12
2097,Oasis Texas Brewing Company,Austin, TX,Slow Ride,0.048,35,American Pale Ale (APA),12
2098,Pedernales Brewing Company,Fredericksburg, TX,Lobo Lito,0.04,12,Light Lager,12
2099,Pedernales Brewing Company,Fredericksburg, TX,Robert Earl Keen Honey Pils,0.05,17,American Pilsner,12
2100,Branchline Brewing Company,San Antonio, TX,Evil Owl,0.052,40,American Amber / Red Ale,12
2101,Grapevine Craft Brewery,Farmers Branch, TX,Sir William's English Brown Ale,0.049,21,English Brown Ale,12
2102,Grapevine Craft Brewery,Farmers Branch, TX,Monarch Classic American Wheat,0.043,21,American Pale Wheat Ale,12
